review_id,order_id,customer_id,restaurant_id,review_text,rating,review_timestamp
REV-000001,ORD-20251115-177495,CUST-10397,REST-AUH-002,Outstanding experience! The Gulab Jamun (2 pcs)  Malai Kofta  Fish Curry  Butter Chicken  and Masala Chai exceeded all expectations. Masala Chai was the star of the meal. Will definitely order again!,5,2025-11-21T12:28:21.853450
REV-000004,ORD-20251121-134068,CUST-10490,REST-DXB-002,It was okay. Kulfi  Jeera Rice  Fresh Lime Soda  Masala Chai  and Sweet Lassi arrived lukewarm. Kulfi tasted fine but could be better.,3,2025-11-23T17:08:54.853450
REV-000002,ORD-20251120-519442,CUST-10175,REST-DXB-002,Absolutely amazing Gajar Halwa! The Gajar Halwa was cooked to perfection. Fresh ingredients and authentic flavors. Highly recommend!,5,2025-11-24T10:16:47.853450
REV-000003,ORD-20251120-143019,CUST-10259,REST-AUH-001,Very satisfied! Paneer Butter Masala and Paneer Tikka were fresh and flavorful. Paneer Butter Masala was the standout dish.,4,2025-11-24T21:18:02.853450
REV-000005,ORD-20251123-439891,CUST-10450,REST-AUH-002,Exceptional quality! Ordered Chicken Seekh Kebab  Garlic Naan  and Chicken Tikka Masala and everything was delicious. The Garlic Naan melted in my mouth. Perfect!,5,2025-11-29T14:58:59.853450
REV-000007,ORD-20251130-973337,CUST-10004,REST-DXB-001,Below expectations. Butter Naan  Jeera Rice  and Fish Curry were underwhelming. Butter Naan was overcooked and dry.,2,2025-12-03T21:46:40.853450
REV-000009,ORD-20251203-196866,CUST-10294,REST-DXB-002,Wow! Just wow! Butter Chicken were all fantastic. Butter Chicken was particularly memorable. Can't wait to order again!,5,2025-12-05T12:09:46.853450
REV-000006,ORD-20251129-556758,CUST-10244,REST-DXB-002,Incredible meal! Chicken Seekh Kebab  Naan  Lamb Rogan Josh  Chicken 65  and Gajar Halwa arrived hot and fresh. The Chicken 65 was absolutely divine. Highly satisfied!,5,2025-12-06T17:06:58.853450
REV-000008,ORD-20251202-792739,CUST-10224,REST-SHJ-001,Great food overall. Paneer Butter Masala  Palak Paneer  and Masala Chai were tasty  especially the Paneer Butter Masala. Would order again!,4,2025-12-06T18:27:03.853450
REV-000013,ORD-20251207-200855,CUST-10426,REST-AUH-001,Not bad  not great. Chicken Seekh Kebab  Rasmalai (2 pcs)  Gulab Jamun (2 pcs)  Malai Kofta  and Chole Bhature were edible. Rasmalai (2 pcs) needed more seasoning.,3,2025-12-08T13:11:01.853450
REV-000011,ORD-20251206-293184,CUST-10166,REST-AUH-002,Pleasant meal! Jeera Rice arrived warm. Jeera Rice was tasty though not exceptional. Would order again.,4,2025-12-09T11:05:25.853450
REV-000010,ORD-20251204-786657,CUST-10101,REST-DXB-001,Exceptional quality! Ordered Aloo Tikki Chaat  Masala Chai  Fresh Lime Soda  and Paneer Tikka and everything was delicious. The Fresh Lime Soda melted in my mouth. Perfect!,5,2025-12-10T16:43:10.853450
REV-000016,ORD-20251209-313094,CUST-10079,REST-SHJ-001,Exceptional quality! Ordered Tandoori Roti and Paneer Butter Masala and everything was delicious. The Tandoori Roti melted in my mouth. Perfect!,5,2025-12-13T18:21:56.853450
